0	1.0215009745e+04	4.8627893904e-08	3.2550000000e-01
1	2.0629851762e+05	2.7090312089e-08	2.9278572916e-01
2	1.2805069397e+07	1.8881631097e-08	1.0072922563e+00
3	1.5166969919e+05	6.2369921244e-08	2.3981509297e+00
4	1.2076618613e+05	3.8552117295e-07	2.0756000000e+00
5	0.0000000000e+00	4.1186673698e-26	0.0000000000e+00
6	0.0000000000e+00	2.4776926879e-26	0.0000000000e+00
7	0.0000000000e+00	1.1745710645e-29	0.0000000000e+00
8	1.2541989086e+07	4.7597581875e-02	9.6400000000e-01
9	2.0345919598e+06	2.0692243021e-04	9.8378335522e-01
10	5.8678660666e+02	1.4010419498e-06	7.6033000000e-02
11	0.0000000000e+00	2.6081140188e-29	0.0000000000e+00
12	0.0000000000e+00	1.5226915453e-28	0.0000000000e+00
13	0.0000000000e+00	8.0758041607e-28	0.0000000000e+00
14	1.9813602215e+04	4.5177226334e-08	3.2550009657e-01
15	3.9444511942e+04	8.6386804788e-08	3.2550038903e-01
16	5.6369244073e+04	1.2489193763e-07	3.2550087604e-01
17	8.1217211639e+04	1.8492290628e-07	3.2550156049e-01
18	9.9154316770e+04	2.3932561727e-07	3.2550244117e-01
19	1.1949259857e+05	3.0589395616e-07	3.2550351676e-01
20	1.5759391721e+05	4.1672549063e-07	3.2550478577e-01
21	1.9683250044e+05	5.8383003451e-07	3.2550625433e-01
22	2.4891904170e+05	8.6493783278e-07	3.2550791910e-01
23	2.4396782283e+05	7.7748844680e-07	3.2550977723e-01
24	3.0587683086e+05	1.1440255056e-06	3.2551182875e-01
25	3.8007281521e+05	1.3431803446e-06	3.2551408137e-01
26	4.3223844909e+05	7.3641091840e-07	3.2399569704e-01
27	4.3467021531e+05	7.3231767677e-07	3.1829273527e-01
28	5.1622316615e+05	8.5484312887e-07	3.1318165515e-01
29	5.4199571996e+05	7.4529126870e-07	3.0835583684e-01
30	5.6544125941e+05	7.5587086577e-07	3.0382703961e-01
31	6.4890178840e+05	8.1155858426e-07	2.9995641025e-01
32	6.9990357612e+05	8.2081428883e-07	2.9676970242e-01
33	7.4704676570e+05	7.9523149898e-07	2.9428913446e-01
34	7.8706621381e+05	7.5780035250e-07	2.9253267035e-01
35	8.2075112060e+05	6.9810466764e-07	2.9151339925e-01
36	8.3455825520e+05	6.2296102064e-07	2.9123906132e-01
37	8.6515495096e+05	5.4938764274e-07	2.9171175824e-01
38	9.2430293143e+05	4.9489508053e-07	2.9292787359e-01
39	9.7253274003e+05	4.2658596982e-07	2.9487820964e-01
40	9.4195459628e+05	8.5205839476e-07	2.9699683552e-01
41	9.4011992296e+05	6.2165344133e-06	2.9790038274e-01
42	8.4607483988e+05	2.2941509302e-06	2.9716847879e-01
43	7.0102548768e+05	6.3237301124e-07	2.9643156560e-01
44	4.6975929964e+05	1.4197099011e-07	2.9569412322e-01
45	2.5519252353e+05	6.8429201459e-08	2.9495686264e-01
46	5.9533625616e+04	8.9362805652e-09	2.9421964408e-01
47	3.7092068793e+04	6.4275182174e-09	2.9348315050e-01
48	4.3247563155e+05	1.0315840818e-07	2.9217104618e-01
49	4.3473723239e+05	9.0860665287e-08	2.9230889819e-01
50	4.1142689598e+05	7.6733135532e-08	2.9320018869e-01
51	4.3332085166e+05	7.0638505657e-08	2.9483808487e-01
52	3.7893308968e+05	5.4011778428e-08	2.9771998027e-01
53	4.8257724018e+05	5.5336592212e-08	3.0333375132e-01
54	5.9472084942e+05	4.9980521924e-08	3.1159817462e-01
55	8.2626367464e+05	4.5381120340e-08	3.2187769401e-01
56	7.5917038663e+05	2.4365703215e-08	3.3398629779e-01
57	8.4375698943e+05	1.7739561565e-08	3.4773296371e-01
58	9.2800198968e+05	1.0428998103e-08	3.6293160613e-01
59	9.1719508447e+05	6.2605496569e-09	3.7940777159e-01
60	9.9164289491e+05	3.8191438328e-09	3.9700243486e-01
61	1.0103435288e+06	1.8554664950e-09	4.1557355445e-01
62	9.7760653004e+05	9.7864733529e-10	4.3499608593e-01
63	1.1114766884e+06	6.6555350529e-10	4.5516104855e-01
