0.000000 0.325500 83935.395827 914.762958
0.014326 0.325500 83946.715491 914.787137
0.028653 0.325500 83995.318199 914.945737
0.042977 0.325500 84083.714017 915.216552
0.057302 0.325500 84193.664459 915.566451
0.071629 0.325500 84374.259125 916.142891
0.085957 0.325500 84593.198265 916.834790
0.100282 0.325500 84923.007684 917.840002
0.114609 0.325500 85278.570615 918.933698
0.128935 0.325500 85843.822660 920.680593
0.143262 0.325500 86553.484918 922.932358
0.157587 0.325500 87546.425351 925.900289
0.171910 0.325500 88871.847332 930.040562
0.185901 0.325363 90495.958397 935.452321
0.198760 0.324534 92232.103271 939.881016
0.210961 0.319890 93919.340134 949.232701
0.222975 0.307614 86550.331504 923.935580
0.234973 0.297874 72016.522543 879.820546
0.247014 0.291876 61847.649462 843.178280
0.259380 0.287524 56651.817401 822.396582
0.272375 0.284213 52663.781534 804.930470
0.285975 0.281833 48948.263597 789.225251
0.299874 0.280227 46490.861971 777.140421
0.314021 0.279182 41425.214531 751.681577
0.328322 0.279172 34406.057578 712.700249
0.342541 0.280449 29562.929657 683.809774
0.356365 0.282138 28308.436843 674.453696
0.370067 0.283966 28092.762776 672.726010
0.383884 0.285847 28240.950755 673.734157
0.397756 0.287735 28410.124317 675.038128
0.411656 0.289606 28522.969168 675.787404
0.425573 0.291436 28745.741868 677.300851
0.439503 0.293181 29239.991980 680.622922
0.453441 0.294791 29951.712748 685.283671
0.467377 0.296236 30586.516414 689.240205
0.481292 0.297541 30887.263437 691.068240
0.495166 0.298769 30998.564017 691.868004
0.508973 0.299919 31114.840623 692.756633
0.522808 0.300951 31454.153603 694.847959
0.536789 0.301851 31980.095970 698.147194
0.550908 0.302610 32368.472712 700.417610
0.565117 0.303227 32694.220026 702.525946
0.579378 0.303706 32869.750273 702.819222
0.593665 0.304060 33105.218954 703.881735
0.607966 0.304324 32951.445073 702.892900
0.622273 0.304519 32690.937869 701.379332
0.636585 0.304659 32373.386644 699.514810
0.650647 0.304750 32032.025810 697.425625
0.660450 0.304787 31734.023406 696.934982
0.670000 0.304800 14035.308771 583.481139
