TITLE = "SU2 Simulation"
VARIABLES = "Iteration","CLift","CDrag","CSideForce","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
ZONE T= "Convergence history"
           0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.24643055e+00, 1.83395445e+00, -1.30124366e+01, 4.89607563e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0042173505
           1, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.51975561e+00, 1.49686411e+00, 4.75724565e-01, 4.58953528e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0083940983
           2, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.53455468e+00, 1.51984824e+00, 6.00622479e-01, 4.64140634e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0125811815
           3, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.55398271e+00, 1.32744080e+00, 8.11804364e-01, 4.46245837e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0168775002
           4, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.64715884e+00, 1.16104172e+00, 8.29015330e-01, 4.22292760e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0211397330
           5, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.83092618e+00, 1.01272740e+00, 7.22965668e-01, 4.04064750e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0254639467
           6, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.93919479e+00, 8.52153055e-01, 5.45471466e-01, 3.83725939e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0297598799
           7, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.98085463e+00, 7.36264529e-01, 4.27477568e-01, 3.73523602e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0340499322
           8, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.06501111e+00, 6.36656555e-01, 4.02151279e-01, 3.64365807e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0381624142
           9, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.14441178e+00, 5.81718221e-01, 3.44841320e-01, 3.60130810e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0422359665
          10, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.16000072e+00, 5.54783956e-01, 3.24234679e-01, 3.60328201e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0463349819
          11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.18319539e+00, 5.38831666e-01, 3.04843428e-01, 3.60993767e+00, 0.00000000e+00, 3.0000000000, 25.0000000000, 0.0505547802
